best_ind,error_type,solver,seed,ABS_Fitness,SQUARED_Fitness,MSE_Fitness,MABS_Fitness,execution_time,model,method,parallel,run_id
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=27.22876293224064, 'k': val=0.610849378081004, '-': True}, 'tau': val=3.38680682613632}, 'B': {'A': {'n': val=20.918077667822743, 'k': val=0.5043472729186149, '-': False}, 'tau': val=1.1626725024877933}, 'C': {'B': {'n': val=4.78699778766617, 'k': val=0.4438351664600559, '-': False}, 'tau': val=1.9844415950666705}, 'D': {'C': {'n': val=26.973236479170502, 'k': val=0.6198996689611107, '-': False}, 'tau': val=0.6569502254917766}, 'E': {'D': {'n': val=12.315194092814918, 'k': val=0.35221105518620144, '-': False}, 'B': {'n': val=21.61303227543842, 'k': val=0.1, '-': False}, 'E': {'n': val=28.816935356477686, 'k': val=1.3036110899486912, '-': False}, 'tau': val=3.521255463218211}}, ind_size=19)",MSE,ODEINT,0,21.955295963270668,2.802102868226611,0.078517804841238,0.21955295963270668,51.67961359024048,GRN5,DE,False,GRN5_DE_SERIAL_20260528_115516
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=3.1391239635988324, 'k': val=0.7873279715210235, '-': True}, 'tau': val=2.171949268923207}, 'B': {'A': {'n': val=8.207279365002695, 'k': val=0.5334686835734687, '-': False}, 'tau': val=0.3993697265579351}, 'C': {'B': {'n': val=6.277180902984339, 'k': val=0.5197232669734546, '-': False}, 'tau': val=1.6980274154710693}, 'D': {'C': {'n': val=25.047075774633836, 'k': val=0.6206334821159162, '-': False}, 'tau': val=2.481806612636448}, 'E': {'D': {'n': val=12.43505508016002, 'k': val=0.7184179031323389, '-': False}, 'B': {'n': val=14.957223840437738, 'k': val=0.258141584501788, '-': False}, 'E': {'n': val=25.05208480962573, 'k': val=0.2749780055490163, '-': False}, 'tau': val=4.011954719557442}}, ind_size=19)",MSE,ODEINT,1,24.96651819991756,3.040376256768928,0.09243887782724236,0.2496651819991755,22.11069917678833,GRN5,DE,False,GRN5_DE_SERIAL_20260528_115516
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=2.663541275610811, 'k': val=1.3811028281669375, '-': True}, 'tau': val=1.5451959437154368}, 'B': {'A': {'n': val=9.774763937966647, 'k': val=0.5661462075898311, '-': False}, 'tau': val=1.097623164975851}, 'C': {'B': {'n': val=11.846420271823282, 'k': val=0.21375481562861975, '-': False}, 'tau': val=4.564274188536626}, 'D': {'C': {'n': val=2.967681800105135, 'k': val=0.3001965216682916, '-': False}, 'tau': val=1.576038535602327}, 'E': {'D': {'n': val=11.53317728794632, 'k': val=0.7617085069424443, '-': False}, 'B': {'n': val=6.023374483203742, 'k': val=0.6919291978336974, '-': False}, 'E': {'n': val=0.6685968080458746, 'k': val=0.8596185197800712, '-': False}, 'tau': val=2.3718761763593297}}, ind_size=19)",MSE,ODEINT,2,40.003489573513995,5.069177132007741,0.2569655679567022,0.40003489573514,22.24255394935608,GRN5,DE,False,GRN5_DE_SERIAL_20260528_115516
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=20.233711203422846, 'k': val=0.4177486124918768, '-': True}, 'tau': val=2.4154482348610635}, 'B': {'A': {'n': val=12.6837530940041, 'k': val=0.4386196329994585, '-': False}, 'tau': val=3.6863561466315273}, 'C': {'B': {'n': val=17.97519729872603, 'k': val=0.22027743761020657, '-': False}, 'tau': val=0.6698789616804957}, 'D': {'C': {'n': val=10.268686329452965, 'k': val=0.16717664188210646, '-': False}, 'tau': val=4.486518464222852}, 'E': {'D': {'n': val=23.44206518872243, 'k': val=0.6147939825362346, '-': False}, 'B': {'n': val=21.42064741075313, 'k': val=0.5324177632154133, '-': False}, 'E': {'n': val=12.432418132848527, 'k': val=1.2212416902309533, '-': False}, 'tau': val=4.621933317366595}}, ind_size=19)",MSE,ODEINT,3,29.105942999250708,3.6769281389897706,0.13519800539294777,0.29105942999250706,59.567747592926025,GRN5,DE,False,GRN5_DE_SERIAL_20260528_115516
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=28.371279650657623, 'k': val=1.1385692327723025, '-': True}, 'tau': val=0.4485537139786561}, 'B': {'A': {'n': val=27.44535000749382, 'k': val=0.720401501959932, '-': False}, 'tau': val=4.018913429204086}, 'C': {'B': {'n': val=9.503742696863487, 'k': val=0.5653896582821504, '-': False}, 'tau': val=1.629934782644585}, 'D': {'C': {'n': val=26.50023309252417, 'k': val=0.7774211350677506, '-': False}, 'tau': val=2.1088556631744613}, 'E': {'D': {'n': val=2.376681179598817, 'k': val=0.2954952775683164, '-': False}, 'B': {'n': val=24.74405086048339, 'k': val=0.46232547988987494, '-': False}, 'E': {'n': val=27.664286992919, 'k': val=0.15980374251708998, '-': False}, 'tau': val=2.257276673001003}}, ind_size=19)",MSE,ODEINT,4,64.29662114905841,8.901468630057414,0.7923614377189624,0.6429662114905841,17.24600863456726,GRN5,DE,False,GRN5_DE_SERIAL_20260528_115516
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=6.032865448669016, 'k': val=0.6327887512014558, '-': True}, 'tau': val=1.3427051865086665}, 'B': {'A': {'n': val=2.3153646909013332, 'k': val=0.4336639679384934, '-': False}, 'tau': val=1.4339586288923996}, 'C': {'B': {'n': val=4.81618331494478, 'k': val=0.4169742884982048, '-': False}, 'tau': val=2.5930088269395326}, 'D': {'C': {'n': val=14.160288661405222, 'k': val=0.7429270038791718, '-': False}, 'tau': val=0.17760620291665924}, 'E': {'D': {'n': val=6.843656437677687, 'k': val=0.689539992276265, '-': False}, 'B': {'n': val=0.6173500605641884, 'k': val=0.5317673754352942, '-': False}, 'E': {'n': val=10.501583890762799, 'k': val=0.1, '-': False}, 'tau': val=4.393544750042324}}, ind_size=19)",MSE,ODEINT,5,18.388684012552723,2.510561597762797,0.06302919536161289,0.1838868401255272,135.0441291332245,GRN5,DE,False,GRN5_DE_SERIAL_20260528_115516
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=1.803079812792241, 'k': val=0.32258824950148346, '-': True}, 'tau': val=0.9816333753641969}, 'B': {'A': {'n': val=26.054472429925994, 'k': val=0.6171136753031056, '-': False}, 'tau': val=1.862103020632361}, 'C': {'B': {'n': val=10.253079271565486, 'k': val=0.6869543057709746, '-': False}, 'tau': val=4.730003223416982}, 'D': {'C': {'n': val=11.080531830673122, 'k': val=0.2925304755512901, '-': False}, 'tau': val=1.336624711387633}, 'E': {'D': {'n': val=25.455891563032644, 'k': val=0.9608809085400379, '-': False}, 'B': {'n': val=1.9973339136095447, 'k': val=0.5875656963932933, '-': False}, 'E': {'n': val=4.64595795416748, 'k': val=0.4252676162641318, '-': False}, 'tau': val=0.7364744471723559}}, ind_size=19)",MSE,ODEINT,6,28.152328099420625,3.5366025651956563,0.12507557704148495,0.28152328099420637,42.86701679229736,GRN5,DE,False,GRN5_DE_SERIAL_20260528_115516
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=2.691378595450802, 'k': val=1.8042707358549572, '-': True}, 'tau': val=2.149254530913096}, 'B': {'A': {'n': val=2.234173886840331, 'k': val=1.1117799107873498, '-': False}, 'tau': val=1.5632102255707845}, 'C': {'B': {'n': val=29.36948256486849, 'k': val=0.21453741752255406, '-': False}, 'tau': val=0.6668833665974145}, 'D': {'C': {'n': val=23.081669258939733, 'k': val=0.6166028377848061, '-': False}, 'tau': val=2.5138376953955217}, 'E': {'D': {'n': val=19.072382992849292, 'k': val=0.5712285727681162, '-': False}, 'B': {'n': val=22.151725843621747, 'k': val=0.25560187027349546, '-': False}, 'E': {'n': val=16.265361890458212, 'k': val=1.9561814246994222, '-': False}, 'tau': val=0.2543371802565355}}, ind_size=19)",MSE,ODEINT,7,42.85665842406938,5.776827236254534,0.33371732917532193,0.4285665842406938,17.649364948272705,GRN5,DE,False,GRN5_DE_SERIAL_20260528_115516
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=25.147509093534637, 'k': val=0.6939164691676238, '-': True}, 'tau': val=0.7100865389069563}, 'B': {'A': {'n': val=17.84092775062662, 'k': val=0.715035474828582, '-': False}, 'tau': val=3.0139526521564743}, 'C': {'B': {'n': val=27.5553769214723, 'k': val=0.7452001866253606, '-': False}, 'tau': val=1.8272896350174594}, 'D': {'C': {'n': val=1.1522805678132695, 'k': val=0.3853275920915076, '-': False}, 'tau': val=2.7941158317914336}, 'E': {'D': {'n': val=9.610972835555593, 'k': val=0.5086956762576444, '-': False}, 'B': {'n': val=11.37647551880765, 'k': val=0.20310200032656797, '-': False}, 'E': {'n': val=7.593242117447568, 'k': val=0.28002397127909284, '-': False}, 'tau': val=0.8209703808973522}}, ind_size=19)",MSE,ODEINT,8,34.68449587400389,4.668883544185221,0.2179847354916355,0.346844958740039,14.212300300598145,GRN5,DE,False,GRN5_DE_SERIAL_20260528_115516
