best_ind,error_type,solver,seed,ABS_Fitness,SQUARED_Fitness,MSE_Fitness,MABS_Fitness,execution_time,model,method,parallel,run_id
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=27.22876293224064, 'k': val=0.610849378081004, '-': True}, 'tau': val=3.38680682613632}, 'B': {'A': {'n': val=20.918077667822743, 'k': val=0.5043472729186149, '-': False}, 'tau': val=1.1626725024877933}, 'C': {'B': {'n': val=4.78699778766617, 'k': val=0.4438351664600559, '-': False}, 'tau': val=1.9844415950666705}, 'D': {'C': {'n': val=26.973236479170502, 'k': val=0.6198996689611107, '-': False}, 'tau': val=0.6569502254917766}, 'E': {'D': {'n': val=12.315194092814918, 'k': val=0.35221105518620144, '-': False}, 'B': {'n': val=21.61303227543842, 'k': val=0.1, '-': False}, 'E': {'n': val=28.816935356477686, 'k': val=1.3036110899486912, '-': False}, 'tau': val=3.521255463218211}}, ind_size=19)",MSE,ODEINT,0,21.955295963270668,2.802102868226611,0.078517804841238,0.21955295963270668,15.061424732208252,GRN5,DE,GRN5_DE_PARALLEL_20260528_115150,True
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=2.663541275610811, 'k': val=1.3811028281669375, '-': True}, 'tau': val=1.5451959437154368}, 'B': {'A': {'n': val=9.774763937966647, 'k': val=0.5661462075898311, '-': False}, 'tau': val=1.097623164975851}, 'C': {'B': {'n': val=11.846420271823282, 'k': val=0.21375481562861975, '-': False}, 'tau': val=4.564274188536626}, 'D': {'C': {'n': val=2.967681800105135, 'k': val=0.3001965216682916, '-': False}, 'tau': val=1.576038535602327}, 'E': {'D': {'n': val=11.53317728794632, 'k': val=0.7617085069424443, '-': False}, 'B': {'n': val=6.023374483203742, 'k': val=0.6919291978336974, '-': False}, 'E': {'n': val=0.6685968080458746, 'k': val=0.8596185197800712, '-': False}, 'tau': val=2.3718761763593297}}, ind_size=19)",MSE,ODEINT,2,40.003489573513995,5.069177132007741,0.2569655679567022,0.40003489573514,11.717356443405151,GRN5,DE,GRN5_DE_PARALLEL_20260528_115150,True
"Individual(fitness=inf, coeffs={'A': {'E': {'n': val=20.233711203422846, 'k': val=0.4177486124918768, '-': True}, 'tau': val=2.4154482348610635}, 'B': {'A': {'n': val=12.6837530940041, 'k': val=0.4386196329994585, '-': False}, 'tau': val=3.6863561466315273}, 'C': {'B': {'n': val=17.97519729872603, 'k': val=0.22027743761020657, '-': False}, 'tau': val=0.6698789616804957}, 'D': {'C': {'n': val=10.268686329452965, 'k': val=0.16717664188210646, '-': False}, 'tau': val=4.486518464222852}, 'E': {'D': {'n': val=23.44206518872243, 'k': val=0.6147939825362346, '-': False}, 'B': {'n': val=21.42064741075313, 'k': val=0.5324177632154133, '-': False}, 'E': {'n': val=12.432418132848527, 'k': val=1.2212416902309533, '-': False}, 'tau': val=4.621933317366595}}, ind_size=19)",MSE,ODEINT,3,29.105942999250708,3.6769281389897706,0.13519800539294777,0.29105942999250706,15.120670080184937,GRN5,DE,GRN5_DE_PARALLEL_20260528_115150,True
